🤭,gasping,concern,embarrassment,serious surprise,blushing,apology,coy laughter,oops,shocked ,,,,,,,,,,
🤫,quiet,secrecy,discreetness,anticipation,careful,energetic,buzz ,shush,,,,,,,,,,,
🤔,pondering,deep in thought,questioning,resting,hmm,learning,puzzled,mocking,thinking,skeptical,scorn,serious,important,sceptical,why,,,,
🤐,zipper mouth,secret,my lips are sealed,stop talking,talking,zip it,ill shut up now,stop,keeping silent,important,personal information,,,,,,,,
🤨,raised eyebrow,suspicion,concern,disapproval,consideration,disbelief,thinking,serious,scepticism,,,,,,,,,,
😐,neutral,irritation,concern,tired,boredom,indifferent,uninterested,lack of emotions,deadpan,silent disapproval,,,,,,,,,
😑,frustration,annoyance,tense ,boredom,sleepiness,indifference,unwillingness,lacking ,tired,,,,,,,,,,
😶,silence,frustration,lost for words,sadness,disappointment,humility,blushing,speechless,unwillingness,impossibility,keep a secret ,tired,no talking,,,,,,
😶‍🌫️,foggy state of mind,confusion,calm,calm bliss,foggy,fog,bliss,day dreaming,,,,,,,,,,,
😏,smirking,flirtation,smug,mischievous,suggestive,amused,sexual,innuendo,irony,coolness,superiority,guilty pleasures,malicious joy,,,,,,
😒,unamused,irritation,displeasure,grumpiness,anger,disapproval,hate,dissatisfaction,indifference,stored up anger,offended,scepticism,side eye,,,,,,
🙄,rolling eyes,frustration,disdain,disapproval,hate,sarcastic,sassy,resentful,whatever,thinking,bored ,eye roll,,,,,,,
😬,tense,embarrassment,nervousness,awkwardness,frustration,disgust,grimace,,,,,,,,,,,,
😮‍💨,relief,displeasure,exhaustion,disappointment,sigh,exhaling,gas,cold,,,,,,,,,,,
🤥,liar,dishonesty,disbelief,abashed,pinocchio,wood,big nose,silly,deceit ,disbelief ,,,,,,,,,
😌,happiness,relief,contentment,calm,sigh,peace,peace of mind,approval,pleased,positive,tranquil,,,,,,,,
😔,pensive,remorseful,sad,hurt,lonely,worried,introspective,guilt,confused,bored,frustration,dissatisfaction,helplessness,melancholy,disappointed,,,,
😪,tired,sadness,illness,sleepiness,dissatisfaction,tear,snot,,,,,,,,,,,,
🤤,tired,desire,sleeping,delicious,attraction,sexy,tired ,sex,appreciation,dribble,,,,,,,,,
😴,boredom,sleepiness,tired,,,,,,,,,,,,,,,,
😷,medical mask,sickness,diseases,airborne,pandemic,fear,health worker,hospital,covid,afraid,air pollution,,,,,,,,
🤒,feverish,cold,illness,patient,sad,flu,sick,,,,,,,,,,,,
🤕,injury,emotional,pain,illness,hurting,ironic,bandage,sad,broken,,,,,,,,,,
🤢,nauseated,sickness,disgust,jealous,illness,concerned,food poisoning,disgusted,green,,,,,,,,,,
🤮,disgust,illness,projectile vomiting,intense,throw up,sick,gross,puke,,,,,,,,,,,
🤧,sneezing,emotional,cold,allergies,ambivalent,sneezing,runny nose,illness,sad,,,,,,,,,,
🥵,overheated,sweat,physical,attraction,hot,relieved,desire,red,,,,,,,,,,,
🥶,frozen,cool,cold,unfriendliness,excellence,chill,blue,,,,,,,,,,,,
🥴,love,irritation,tired,disgust,emotional,exhaustion,wild,infatuation,wackiness,inebriation,smitten,intoxication,hanging out,bewilderment,sick,dizzy,woozy,dazed ,
😵,knocked out,shock,surprise,disbelief,awe,amazement,staggered,disorientation,sickness,nausea,intoxication,death,,,,,,,
😵‍💫,dizziness,hypnosis,disorientation,brainwashed,,,,,,,,,,,,,,,
🤯,mind blown,exploding head ,shock,awe,disbelief,amazement,learning,discover,wonder,,,,,,,,,,
🤠,cowboy,exuberance,whimsy,adventure,confidence,happy,earnest,tradition,friendliness,joyful,appreciation,,,,,,,,
🥳,joyous,enjoyment,celebrating,party,good time,crazy,,,,,,,,,,,,,
🥸,joke,disguise,glasses,mask,villain,detective,hidden,undercover,private,,,,,,,,,,
😎,cool,confident,casual,carefree,sunshine,sunbathing,friends,achievement,excellence,serenity,happy,,,,,,,,
🤓,nerds,asian,knowledge,buck teeth,smart,skillful,education,weird, awkward,self deprecating ,intelligence,earnest,,,,,,,
🧐,pondering,inspection,smug,careful,smart,intelligence,considering,ironic,questioning,sophistication,raging,raised eyebrow,fancy,sceptical,observing,,,,
😕,frustration,unsure,sadness,confusion,puzzlement,disappointment,displeasure,displeased,disgusted,,,,,,,,,,
😟,concern,disappointment,alarm,anxiety,unhappiness,confused,tense ,disappointed,sad,troubles,worried,,,,,,,,
🙁,concern,sadness,disappointment,sad,upset,weak,,,,,,,,,,,,,
☹,concern,sadness,disappointment,missing,,,,,,,,,,,,,,,
😮,surprise,shock,awe,ironic,disbelief,astonishment,,,,,,,,,,,,,
😯,excitement,concern,surprise,hushed,embarrassment,silenced,corrected,pleasantly surprised,wonder,,,,,,,,,,
😲,astonished,excitement,gasping,concern,surprise,shock,awe,disbelief,amazement,,,,,,,,,,
😳,flushed,surprise,embarrassment,blushing,disbelief,shame,ashamed,bashful,confusion,,,,,,,,,,
🥺,pleading,begging,pleading,adoration,touched,shy,gesture,bashful,loving,kindness,,,,,,,,,
😦,concern,sadness,disappointment,surprise,shock,,,,,,,,,,,,,,
😧,anguished,gasping,concern,surprise,shock,alarm,frustration,disappointment,,,,,,,,,,,
😨,cold,shock,fear,flash,fright,sad,blue,disbelief,,,,,,,,,,,
😰,sadness,cold,sweat,fear,flash,anxiety,nervous,confused,emotional,shocked,stressed,frightened,blue,,,,,,
😥,concern,sadness,sweat,disappointed,anxiety,upset,confused,sweat,frustrated,frightened,exhausted,,,,,,,,
😢,crying,sadness,pain,disbelief,confused,disappointed,tear ,,,,,,,,,,,,
😭,loudly crying,laughter,intense laughter,inconsolable,pride,grief,overwhelming joy,pain,sorrow,hurt,upset,tears,,,,,,,
😱,excitement,tense,iconic,shock,pain,fear,intense,awe,disbelief,scream,horror,fright,excitement,ghost,halloween,scared,blue,,
😖,confounded,frustration,irritation,disgust,sadness,quivering,holding back tears,overcoming,defeat,miserable,confused,helplessness,anger,embarrassment,,,,,
😣,frustration,sadness,effort,holding back tears,struggle,helpless,exhaustion,persevering,,,,,,,,,,,
😞,disappointed,aching,pain,sorrow,grief,hurt,regret,remorse,unhappy,downcast,sadness,upset,,,,,,,
😓,downcast,frustration,sadness,sweat,pain,pleading,disappointment,confused,effort,,,,,,,,,,
😩,frustration,playful,sadness,distraught,giving up,tiredness,weary,,,,,,,,,,,,
😫,excitement,frustration,tired,sadness,yawning,affection,exhaustion,groaning,exasperation,confused,effort,weary,difficulty,,,,,,
🥱,yawning,asleep,insufficient sleep,bored,fed up,tired ,hungry ,,,,,,,,,,,,
😤,frustration,irritation,disdain,anger,huff,fuming,pride,contempt,power,dominance,empowerment,strong,aggression,,,,,,
😡,hate,intense,rage,anger,tense ,strong,outrage,,,,,,,,,,,,
😠,irritation,disgust,anger,grumpiness,rage,outrage,tough,frustration,annoyance,disapproval,strong,mean,,,,,,,
🤬,frustration,swearing,angry,vulgar,rage,obscenities,outburst of anger ,,,,,,,,,,,,
😈,excitement,playful,mischief,evil,naughtiness,devilish,suggestive,excellence,halloween,happy,desire,prank,coolness,revenge,,,,,
👿,anger,evil,revenge,devilish,folklore,halloween,menacing,sad,cruel,upset,demon,imp,,,,,,,
💀,skull,frustration,dying,affection,death,laughter,halloween,anger,danger,creepy,darkness,sarcastic,jealous,humorous,,,,,
☠,skull and crossbones,anger,dying,hazardous,death,laughter,danger,pirate,halloween,mascots,iconic,poisonous,cross,,,,,,
💩,poo,happy,fun,friendly,ice cream,whimsy,excited,silliness,enjoyment,childish,cute,joking,ironic,insult,humorous,,,,
🤡,clown,foolish,selfish,creepy,scary,birthday,circus,fun,entertain,tradition,afraid,colorful,crazy,fear,idiotic ,,,,
👹,ogre,mythic,evil,naughty,folklore,supernatural,demons,mask,chide,myth,ward off evil,traditional,unusual,beasts ,oman,,,,
👺,goblin,anger,evil,mischievous,cruel,tricks,folklore,supernatural,sexual,proud,shy,mask,menacing,sex,tradition,,,,
👻,ghost,fun,goofy,excited,halloween,scare,silly ,funny,jokingly,spooky, friendly,,,,,,,,
👽,alien,playful,friendly,extraterrestrial life,outer space,weirdness,strangeness,,,,,,,,,,,,
👾,alien,excitement,friendly,extraterrestrial life,outer space,creature,wackiness,gaming,weirdness,enjoy,monster,,,,,,,,
🤖,robot,excitement,fun,alarm,electronics,computer programming,weirdness,futurism,science fiction,weird,intelligence,emotionless,creepy,education,soul,,,,
😺,cat,happy,pleasure,cheer,humour,joyful,excited,,,,,,,,,,,,
😸,cat,happy,achievement,proud,amusement,warmth,excited,joke,laughter,appreciation,sarcastic,chuckle,,,,,,,
😹,cat,happiness,fun,relief,graceful,funny,pleasing,intense laughter,adorably funny,sarcastic,,,,,,,,,
😻,cat,admiration,liking,enthusiastic,in love,infatuation,adoration,romantic,excited,attraction,,,,,,,,,
😼,cat,wry smile,unfriendly,mocking,aggressive,smug,mischievous,coolness,superiority,guilty pleasures,malicious joy,,,,,,,,
😽,cat,kissing,romantic,whistling,appreciation,love,affection,intimate,,,,,,,,,,,
🙀,cat,fear,stress,sarcastic,fright,excitement,shock,awe,disbelief,scream,horror,scared,,,,,,,
😿,cat,crying,sadness,pain,disappointment,empathy,depression,pain,confused,tear ,,,,,,,,,
😾,cat,angry,sad,frustrated,irritation,grumpiness,rage,outrage,tough,annoyance,disapproval,mean,,,,,,,
🙈,monkey,playful,see no evil,laughing,disbelieving,surprise, discretion,wilful ignorance,,,,,,,,,,,
🙉,monkey,playful,hear no evil,discretion,disbelief,astonishment,disgust,wilful ignorance,,,,,,,,,,,
🙊,monkey,playful,secret,speak no evil,mischievous,discretion,wilful ignorance,disbelieving,,,,,,,,,,,
💋,kiss mark,seductive,lipstick,love,romantic,kiss,lips,,,,,,,,,,,,
💌,love letter,valentine,affectionate,romantic ,,,,,,,,,,,,,,,
💘,heart,love,cupid,,,,,,,,,,,,,,,,
💝,heart,gift,jewellery,love,,,,,,,,,,,,,,,
💖,heart,love,sparkling,appreciation,,,,,,,,,,,,,,,
💗,growing heart,emotional,love,affection,,,,,,,,,,,,,,,
💓,beating heart,love,affection,life,,,,,,,,,,,,,,,
💞,revolving hearts,excited,love,affection,,,,,,,,,,,,,,,
💕,two hearts,love,affection,romance,intimate,friend,,,,,,,,,,,,,
💟,heart button,love,cuteness,friendship,,,,,,,,,,,,,,,
❣,heart,affection,exclamation mark,love,,,,,,,,,,,,,,,
💔,broken heart,aching,missing,broken,lovesick,sarcastic,,,,,,,,,,,,,
❤️‍🔥,heart on fire,love,desire,passionate,lust,moving on,burning,,,,,,,,,,,,
❤️‍🩹,mending heart,healing,recovery,sympathy,difficult time,bandage,broken,broken heart,,,,,,,,,,,
❤,love,friend,romance,affection,,,,,,,,,,,,,,,
🧡,orange heart,love,,,,,,,,,,,,,,,,,
💛,yellow heart,love,friend,,,,,,,,,,,,,,,,
💚,green heart,love,healthy lifestyle,,,,,,,,,,,,,,,,
💙,blue heart,ocean,awareness,love,,,,,,,,,,,,,,,
💜,purple heart,love,,,,,,,,,,,,,,,,,
🤎,brown heart,racial love,,,,,,,,,,,,,,,,,
🖤,black heart,love,affection,morbidity,sorrow,fashion,chic,dark humour,,,,,,,,,,,
🤍,white heart,love,affection,,,,,,,,,,,,,,,,
💯,one hundred percent,emphasis,perfect score,performed well,acceptance,approval,agreement,,,,,,,,,,,,
💢,angry,veins popping,bam,pow,punch,hot springs,,,,,,,,,,,,,
💥,collision,exciting,surprise,shock,explosion ,,,,,,,,,,,,,,
💫,dizzy,dizziness,sick,shooting star,disoriented,intoxicated,confusion,,,,,,,,,,,,
💦,sweat,tears,working hard,stress,attraction,stressed,sexual fluid,crying,sexual innuendo,,,,,,,,,,
💨,dashing away,speed,leaving,escaping,quick,explosion,fart,gas,,,,,,,,,,,
🕳,hole,troubles,pit of darkness,black hole,golf,,,,,,,,,,,,,,
💣,bomb,attraction,baseball,softball,burning,anger,explosion,danger,terrorism,hate,bombshell,attraction,,,,,,,
💬,speech balloon,typing,spoken word,speaking,speech bubble,,,,,,,,,,,,,,
👁️‍🗨️,speech bubble,speaking,considering,watching,spectator ,vigilant,,,,,,,,,,,,,
🗨,speech bubble,black,,,,,,,,,,,,,,,,,
🗯,angry,speech balloon,anxious,unhappy,,,,,,,,,,,,,,,
💭,thought balloon,dream,thinking,spoken word,,,,,,,,,,,,,,,
💤,zzz,sleeping,dream,late,tired,bored,,,,,,,,,,,,,
👋,waving,greeting,hello,goodbye,cold,friendly,,,,,,,,,,,,,
🤚,greeting,,,,,,,,,,,,,,,,,,
🖐,waving hand,five,greeting,,,,,,,,,,,,,,,,
✋,high five,stop,important,eager,greeting,congratulate,,,,,,,,,,,,,
🖖,vulcan salute,star trek,greeting,duty,honour,,,,,,,,,,,,,,
👌,offensive,correct,okay,approval,fine,agreement,,,,,,,,,,,,,
🤌,pinched,frustration,dumpling,warm,patient,disbelief,italy,agreement,relax,purse,hold on,be patient,disagreement,desire,,,,,
🤏,pinching,genitalia,,,,,,,,,,,,,,,,,
✌,victory,peace,chill,friends,greeting,hello,goodbye,,,,,,,,,,,,
🤞,crossed fingers,desire,luck,wishes,,,,,,,,,,,,,,,
🤟,love you gesture,loved one,,,,,,,,,,,,,,,,,
🤘,sign of the horns,parties,music,crazy,late night,heavy,listening,,,,,,,,,,,,
🤙,call me,,,,,,,,,,,,,,,,,,
👈,look,important,,,,,,,,,,,,,,,,,
👉,important,look,,,,,,,,,,,,,,,,,
👆,pointing up,important,one,,,,,,,,,,,,,,,,
🖕,middle finger,rude,insult,disapproval,hate,superiority,contempt,offensive,,,,,,,,,,,
👇,pointing down,important,,,,,,,,,,,,,,,,,
☝,number one,superiority,uniqueness,important,one moment,,,,,,,,,,,,,,
👍,thumbs up,approval,liking,okay,acceptance,agreement,yes,,,,,,,,,,,,
👎,thumbs down,disapproval,dislike,no,,,,,,,,,,,,,,,
✊,raised fist,zero,resistance,defiance,political movement,black lives matter,,,,,,,,,,,,,
👊,fist bump,punch,friendship,respect,congratulate,fight,greeting,,,,,,,,,,,,
🤛,fist bump,punch,friendship,respect,congratulate,fight,greeting,,,,,,,,,,,,
🤜,fist bump,punch,friendship,respect,congratulate,fight,greeting,,,,,,,,,,,,
👏,clapping hands,applause,appreciation,success,achievement,sarcastic,congratulations,,,,,,,,,,,,
🙌,hands in the air,rejoicing,celebrating,success,,,,,,,,,,,,,,,
👐,open hands,hug,jazz hands,surrender,,,,,,,,,,,,,,,
🤲,praying,money,palms,open book,beg,openess,,,,,,,,,,,,,
🤝,handshake,friendly,greeting,business,agreement,deal,nice to meet you,hello,,,,,,,,,,,
🙏,praying,thankfulness,miracles,,,,,,,,,,,,,,,,
✍,pencil,writing,list,,,,,,,,,,,,,,,,
💅,nail polish,indifference,beauty,self care,fashion,contempt,femininity,,,,,,,,,,,,
🤳,selfie,attractive,photograph,social media,beauty,lust,self love,vainity ,,,,,,,,,,,
💪,flexed biceps,strength,muscle,working out,body building,physical,good luck,powerful,,,,,,,,,,,
🦾,mechanical arm,mechanic,prosthetic arm,robot,powerful,strength,,,,,,,,,,,,,
🦿,mechanical leg,mechanic,prosthetic leg,pain,robot,injury,,,,,,,,,,,,,
🦵,leg,detached,human leg,meat,,,,,,,,,,,,,,,
🦶,foot,walking,smelly,care,important,detached,,,,,,,,,,,,,
👂,ear,listening,hearing,speaking,,,,,,,,,,,,,,,
🦻,ear with hearing aid,hearing,hearing loss,old,,,,,,,,,,,,,,,
👃,nose,smell,scent,,,,,,,,,,,,,,,,
🧠,brain,thinking,judge,smart,inspired,,,,,,,,,,,,,,
🫀,anatomical heart,love,life,,,,,,,,,,,,,,,,
🫁,lungs,health,breath,oxygen,,,,,,,,,,,,,,,
🦷,tooth,tooth fairy,luck,talking,dentist,,,,,,,,,,,,,,
🦴,bone,treat,dog bone,,,,,,,,,,,,,,,,
👀,eyes,distraction,attraction,approval,deceitful,shifty,watching,,,,,,,,,,,,
👁,eye,strain,sigh,late night,watching,vigilant,,,,,,,,,,,,,
👅,tongue,childish,friendly,sexual innuendo,jokingly,sex,friendly insult,grimace,provocation,,,,,,,,,,
👄,mouth,speaking,kiss,romance,lips,,,,,,,,,,,,,,
👶,baby,young,toddler,playful,parenthood,childish,,,,,,,,,,,,,
🧒,child,childhood,,,,,,,,,,,,,,,,,
👦,boy,childhood,,,,,,,,,,,,,,,,,
👧,girl,childhood,,,,,,,,,,,,,,,,,
🧑,person,,,,,,,,,,,,,,,,,,
👱,person blond hair,,,,,,,,,,,,,,,,,,
👨,man,,,,,,,,,,,,,,,,,,
🧔,person beard,movember,manliness,masculinity,lumberjack,stylish,,,,,,,,,,,,,
🧔‍♂️,man beard,movember,manliness,masculinity,lumberjack,stylish,,,,,,,,,,,,,
🧔‍♀️,woman beard,movember,manliness,masculinity,jokingly,mocking,hairy,feminist,,,,,,,,,,,
👨‍🦰,man red hair,ginger,souless,moustache,devil,rare,,,,,,,,,,,,,
👨‍🦱,man curly hair,,,,,,,,,,,,,,,,,,
👨‍🦳,man white hair,elderly,old,silver fox,wisdom,,,,,,,,,,,,,,
👨‍🦲,man bald,monk,religious,cancer ,,,,,,,,,,,,,,,
👩,woman,business,,,,,,,,,,,,,,,,,
👩‍🦰,woman red hair,ginger,souless,beautiful,rare,,,,,,,,,,,,,,
🧑‍🦰,person red hair,hair colouring,vibrant,,,,,,,,,,,,,,,,
👩‍🦱,woman curly hair,,,,,,,,,,,,,,,,,,
🧑‍🦱,person curly hair,,,,,,,,,,,,,,,,,,
👩‍🦳,woman white hair,elderly,wisdom,old,beauty,,,,,,,,,,,,,,
🧑‍🦳,person white hair,elderly,wisdom,old,,,,,,,,,,,,,,,
👩‍🦲,woman bald,healing,cancer,,,,,,,,,,,,,,,,
🧑‍🦲,person bald,healing,cancer,,,,,,,,,,,,,,,,
👱‍♀️,woman blond hair,,,,,,,,,,,,,,,,,,
👱‍♂️,man blond hair,,,,,,,,,,,,,,,,,,
🧓,older person,wisdom,,,,,,,,,,,,,,,,,
👴,old man,elderly,joking,wisdom,bald,grandad,,,,,,,,,,,,,
👵,old woman,elderly,grandma,,,,,,,,,,,,,,,,
🙍,person frowning,upset,dismay,sad,depressed,frustrated,helpless,regret,discouraged,powerless,,,,,,,,,
🙍‍♂️,man frowning,upset,dismay,sad,depressed,frustrated,helpless,regret,discouraged,powerless,,,,,,,,,
🙍‍♀️,woman frowning,upset,dismay,sad,depressed,frustrated,helpless,regret,discouraged,powerless,,,,,,,,,
🙎,person pouting,displeasure,serious,frustration,angry,negative,unsatisfied,unhappy,,,,,,,,,,,
🙎‍♂️,man pouting,displeasure,serious,frustration,angry,negative,unsatisfied,unhappy,,,,,,,,,,,
🙎‍♀️,woman pouting,displeasure,serious,frustration,angry,negative,unsatisfied,unhappy,,,,,,,,,,,
🙅,person gesturing no,stop,disapproval,disagreement,strict,unfriendly,hate,,,,,,,,,,,,
🙅‍♂️,man gesturing no,stop,dissapproval,disagreement,strict,unfriendly,hate,,,,,,,,,,,,
🙅‍♀️,woman gesturing no,stop,disapproval,disagreement,strict,unfriendly,hate,,,,,,,,,,,,
🙆,person gesturing ok,proud,happy,dancing,anticipation,enjoyment,agreement,approval,sex,,,,,,,,,,
🙆‍♂️,man gesturing ok,proud,happy,dancing,anticipation,enjoyment,agreement,approval,blow job,sex,,,,,,,,,
🙆‍♀️,woman gesturing ok,proud,happy,dancing,anticipation,enjoyment,agreement,approval,sex,,,,,,,,,,
💁,person tipping hand,sarcasm,explaining,asking,opinion,sassy,whatever,,,,,,,,,,,,
💁‍♂️,man tipping hand,sarcasm,explaining,asking,opinion,sassy,whatever,,,,,,,,,,,,
💁‍♀️,woman tipping hand,sarcasm,explaining,asking,opinion,sassy,whatever,,,,,,,,,,,,
🙋,person raising hand,question,important,willingness,ironic,,,,,,,,,,,,,,
🙋‍♂️,man raising hand,question,important,willingness,ironic,,,,,,,,,,,,,,
🙋‍♀️,woman raising hand,question,important,willingness,ironic,,,,,,,,,,,,,,
🧏,deaf person,hearing loss,cant hear,speak louder,,,,,,,,,,,,,,,
🧏‍♂️,deaf man,hearing loss,cant hear,speak louder,,,,,,,,,,,,,,,
🧏‍♀️,deaf woman,hearing loss,cant hear,speak louder,,,,,,,,,,,,,,,
🙇,person bowing,submission,apology,praying,beg,admiration,thankful,respect,,,,,,,,,,,
🙇‍♂️,man bowing,submission,apology,praying,beg,admiration,thankful,respect,,,,,,,,,,,
🙇‍♀️,woman bowing,submission,apology,praying,beg,admiration,thankful,respect,,,,,,,,,,,
🤦,person facepalming,embarrassment,frustration,cringe,disappointment,shame,stupidity,ashamed,fed up,,,,,,,,,,
🤦‍♂️,man facepalming,embarrassment,frustration,cringe,disappointment,shame,stupidity,ashamed,fed up,,,,,,,,,,
🤦‍♀️,woman facepalming,embarrassment,frustration,cringe,disappointment,shame,stupidity,ashamed,fed up,,,,,,,,,,
🤷,person shrugging,confusion,indifference,nothing can be done,disdain,doubt,lost,troubles,annoyance,,,,,,,,,,
🤷‍♂️,man shrugging,confusion,indifference,nothing can be done,disdain,doubt,lost,troubles,annoyance,,,,,,,,,,
🤷‍♀️,woman shrugging,confusion,indifference,nothing can be done,disdain,doubt,lost,troubles,annoyance,,,,,,,,,,
🧑‍⚕️,health worker,doctor,nurse,care,,,,,,,,,,,,,,,
👨‍⚕️,man health worker,doctor,nurse,care,,,,,,,,,,,,,,,
👩‍⚕️,woman health worker,doctor,nurse,care,,,,,,,,,,,,,,,
🧑‍🎓,student,learning,education,eager,celebration,graduation,achievement,academic,proud,,,,,,,,,,
👨‍🎓,man student,learning,education,eager,celebration,graduation,achievement,academic,proud,,,,,,,,,,
👩‍🎓,woman student,learning,education,eager,celebration,graduation,achievement,academic,proud,,,,,,,,,,
🧑‍🏫,teacher,education,knowledge,learning,eager,explaining,patience,crush,dedicated,,,,,,,,,,
👨‍🏫,man teacher,education,knowledge,learning,eager,explaining,patience,crush,dedicated,,,,,,,,,,
👩‍🏫,woman teacher,education,knowledge,learning,eager,explaining,patience,crush,dedicated,,,,,,,,,,
🧑‍⚖️,judge,deciding,court,legal,law,justice ,judging,,,,,,,,,,,,
👨‍⚖️,man judge,deciding,court,legal,law,justice ,judging,,,,,,,,,,,,
👩‍⚖️,woman judge,deciding,court,legal,law,justice ,judging,,,,,,,,,,,,
🧑‍🌾,farmer,gardening,food shopping,growing,hardworking,gather,harvest,planting,,,,,,,,,,,
👨‍🌾,man farmer,gardening,food shopping,growing,hardworking,gather,harvest,planting,,,,,,,,,,,
👩‍🌾,woman farmer,gardening,food shopping,growing,hardworking,gather,harvest,planting,,,,,,,,,,,
🧑‍🍳,cook,chef,baking,sarcastic,amateur,,,,,,,,,,,,,,
👨‍🍳,man cook,chef,baking,sarcastic,amateur,,,,,,,,,,,,,,
👩‍🍳,woman cook,chef,baking,sarcastic,amateur,,,,,,,,,,,,,,
🧑‍🔧,mechanic,fixing,working,,,,,,,,,,,,,,,,
👨‍🔧,man mechanic,fixing,working,,,,,,,,,,,,,,,,
👩‍🔧,woman mechanic,fixing,working,,,,,,,,,,,,,,,,
🧑‍🏭,factory worker,welding,working hard,repetitive,,,,,,,,,,,,,,,
👨‍🏭,man factory worker,welding,working hard,repetitive,,,,,,,,,,,,,,,
👩‍🏭,woman factory worker,welding,working hard,repetitive,,,,,,,,,,,,,,,
🧑‍💼,office worker,business,dull,corporate,representatives,support,,,,,,,,,,,,,
👨‍💼,man office worker,business,dull,corporate,representatives,support,,,,,,,,,,,,,
👩‍💼,woman office worker,business,dull,corporate,representatives,support,,,,,,,,,,,,,
🧑‍🔬,scientist,experimenting,studying,chemistry,genius,,,,,,,,,,,,,,
👨‍🔬,man scientist,experimenting,studying,chemistry,genius,,,,,,,,,,,,,,
👩‍🔬,woman scientist,experimenting,studying,chemistry,genius,,,,,,,,,,,,,,
🧑‍💻,technologist,computing,studying,programmer,hackers,typing,gamers,geeks,internet addicts,work,,,,,,,,,
👨‍💻,man technologist,computing,studying,programmer,hackers,typing,gamers,geeks,internet addicts,work,,,,,,,,,
👩‍💻,woman technologist,computing,studying,programmer,hackers,typing,gamers,geeks,internet addicts,work,,,,,,,,,
🧑‍🎤,singer,music,entertain,performing ,inspired,amateur,aspiration,,,,,,,,,,,,
👨‍🎤,man singer,music,entertain,performing ,inspired,amateur,aspiration,,,,,,,,,,,,
👩‍🎤,woman singer,music,entertain,performing ,inspired,amateur,aspiration,,,,,,,,,,,,
🧑‍🎨,artist,passionate,talent,pain,creative,inspiration ,painting,renovate,change the world,amateur,aspiration,,,,,,,,
👨‍🎨,man artist,passionate,talent,pain,creative,inspiration ,painting,renovate,change the world,amateur,aspiration,,,,,,,,
👩‍🎨,woman artist,passionate,talent,pain,creative,inspiration ,painting,renovate,change the world,amateur,aspiration,,,,,,,,
🧑‍✈️,pilot,traveling,navigating,flying,achievement,captain,leader,scared,aspiration,,,,,,,,,,
👨‍✈️,man pilot,traveling,navigating,flying,achievement,captain,leader,scared,aspiration,,,,,,,,,,
👩‍✈️,woman pilot,traveling,navigating,flying,achievement,captain,leader,scared,aspiration,,,,,,,,,,
